,amount,city,date,ppg,price,quality,state,state.name
486,3.54,Honolulu,2012-01-21,16.95,60,high,HI,Hawaii
487,3.54,Mililani,2012-01-09,16.95,60,high,HI,Hawaii
488,28.3,Honolulu,2012-01-05,7.77,220,medium,HI,Hawaii
489,3.54,Honolulu,2012-01-03,14.12,50,high,HI,Hawaii
490,28.3,Paia,2011-12-25,16.96,480,high,HI,Hawaii
491,28.3,Aiea,2011-12-20,0.71,20,low,HI,Hawaii
492,28.3,Honolulu,2011-12-16,9.89,280,high,HI,Hawaii
493,7.075,Honolulu,2011-12-10,16.96,120,high,HI,Hawaii
494,28.3,Honolulu,2011-12-05,10.6,300,high,HI,Hawaii
495,3.54,Waipahu,2011-12-04,28.25,100,high,HI,Hawaii
496,28.3,Honolulu,2011-10-28,0.71,20,medium,HI,Hawaii
497,7.075,Lanai City,2011-10-28,16.96,120,high,HI,Hawaii
498,28.3,Haleiwa,2011-10-20,14.13,400,high,HI,Hawaii
499,28.3,Honolulu,2011-10-18,7.07,200,medium,HI,Hawaii
500,28.3,Honolulu,2011-10-14,7.07,200,high,HI,Hawaii
501,28.3,Hanalei,2011-10-09,0.21,6,high,HI,Hawaii
502,3.54,Makawao,2011-09-17,14.12,50,medium,HI,Hawaii
503,7.075,Hilo,2011-09-15,8.48,60,high,HI,Hawaii
504,3.54,Honolulu,2011-09-06,14.12,50,medium,HI,Hawaii
505,3.54,Honolulu,2011-09-04,14.12,50,high,HI,Hawaii
506,7.075,Kihei,2011-09-02,14.13,100,high,HI,Hawaii
507,5.0,M C B H Kaneohe Bay,2011-09-01,45.0,225,low,HI,Hawaii
508,28.3,Honolulu,2011-08-31,14.13,400,high,HI,Hawaii
509,7.075,Hilo,2011-08-31,14.13,100,high,HI,Hawaii
510,28.3,Keaau,2011-08-31,7.07,200,medium,HI,Hawaii
511,28.3,Kapaa,2011-08-30,12.37,350,medium,HI,Hawaii
512,28.3,Waialua,2011-08-30,14.13,400,medium,HI,Hawaii
513,3.54,Kaneohe,2011-08-24,16.95,60,medium,HI,Hawaii
514,5.0,Wailuku,2011-08-19,20.0,100,high,HI,Hawaii
515,7.075,Kailua,2011-08-04,14.13,100,high,HI,Hawaii
516,14.15,Honolulu,2011-08-02,14.84,210,high,HI,Hawaii
517,28.3,Honolulu,2011-07-29,12.37,350,high,HI,Hawaii
518,28.3,Kihei,2011-07-17,7.95,225,high,HI,Hawaii
519,7.075,Honolulu,2011-07-03,31.8,225,high,HI,Hawaii
520,28.3,Honolulu,2011-06-27,0.71,20,medium,HI,Hawaii
521,28.3,Kailua Kona,2011-06-17,7.07,200,high,HI,Hawaii
522,28.3,Hilo,2011-06-13,6.18,175,high,HI,Hawaii
523,3.54,Hilo,2011-06-12,11.3,40,medium,HI,Hawaii
524,28.3,Honolulu,2011-06-03,14.13,400,high,HI,Hawaii
525,3.54,Honolulu,2011-05-29,16.95,60,high,HI,Hawaii
526,3.54,Ewa Beach,2011-05-22,16.95,60,high,HI,Hawaii
527,5.0,Wahiawa,2011-05-12,12.0,60,medium,HI,Hawaii
528,28.3,Waipahu,2011-04-29,12.37,350,high,HI,Hawaii
529,3.54,Kapaa,2011-04-25,16.95,60,high,HI,Hawaii
530,3.54,Honolulu,2011-04-21,16.95,60,high,HI,Hawaii
531,20.0,Maunaloa,2011-04-20,1.0,20,medium,HI,Hawaii
532,28.3,Honolulu,2011-04-06,12.37,350,high,HI,Hawaii
533,3.54,Honolulu,2011-03-22,18.36,65,medium,HI,Hawaii
534,28.3,Aiea,2011-03-11,0.18,5,medium,HI,Hawaii
535,3.54,Waianae,2011-03-11,18.36,65,medium,HI,Hawaii
536,3.54,Honolulu,2011-03-06,9.89,35,low,HI,Hawaii
537,28.3,Kapolei,2011-02-28,10.6,300,high,HI,Hawaii
538,28.3,Lahaina,2011-02-16,12.72,360,high,HI,Hawaii
539,28.3,Honolulu,2011-02-10,4.42,125,high,HI,Hawaii
540,3.54,Aiea,2011-02-07,16.95,60,high,HI,Hawaii
541,28.3,Honolulu,2011-01-27,1.41,40,medium,HI,Hawaii
542,14.15,Kailua Kona,2011-01-26,4.24,60,medium,HI,Hawaii
543,28.3,Honolulu,2011-01-20,1.41,40,medium,HI,Hawaii
544,28.3,Honolulu,2011-01-02,7.07,200,low,HI,Hawaii
545,3.54,Honolulu,2010-12-25,19.77,70,medium,HI,Hawaii
546,28.3,Mililani,2010-12-20,12.72,360,high,HI,Hawaii
547,14.15,Mililani,2010-12-09,15.55,220,high,HI,Hawaii
548,3.54,Honolulu,2010-11-30,16.95,60,medium,HI,Hawaii
549,7.075,Honolulu,2010-11-14,14.13,100,medium,HI,Hawaii
